Yeast	Style	Category	BJCP	Type	Form	Attenuation_percent	Temp_lower_C	Temp_higher_C	Recipes
Bio4 - American Ale - SY025	American Amber Ale	Amber and Brown American Beer	19A	Ale	Liquid	77	15	22	2
Bio4 - American Ale - SY025	American IPA	IPA	21A	Ale	Liquid	77	15	22	2
Bio4 - American Ale - SY025	American Pale Ale	Pale American Ale	18B	Ale	Liquid	77	15	22	6
Bio4 - American Ale - SY025	Blonde Ale	Pale American Ale	18A	Ale	Liquid	77	15	22	1
Bio4 - American Ale - SY025	Experimental Beer	Specialty Beer	34C	Ale	Liquid	77	15	22	1
Bio4 - American Ale - SY025	Sweet Stout	Dark British Beer	16A	Ale	Liquid	77	15	22	1
Bio4 - London ESB - SY030	American Amber Ale	Amber and Brown American Beer	19A	Ale	Liquid	71	18	22	1
Bio4 - London ESB - SY030	American Pale Ale	Pale American Ale	18B	Ale	Liquid	71	18	22	1
Bio4 - London ESB - SY030	German Leichtbier	Pale Bitter European Beer	5A	Ale	Liquid	71	18	22	1
Bio4 - London ESB - SY030	Munich Dunkel	Dark European Lager	8A	Ale	Liquid	71	18	22	1
Bio4 - London ESB - SY030	Oatmeal Stout	Dark British Beer	16B	Ale	Liquid	71	18	22	1
Bio4 - London ESB - SY030	Strong Bitter	British Bitter	11C	Ale	Liquid	71	18	22	2
Bootleg Biology - BBAUR – AURORA™	American IPA	IPA	21A	Ale	Liquid	81	23.9	36.7	2
Bootleg Biology - BBAUR – AURORA™	Sahti	Historical Beer	27	Ale	Liquid	81	23.9	36.7	1
Bootleg Biology - BBAUR – AURORA™	Specialty IPA: New England IPA	IPA	21B	Ale	Liquid	81	23.9	36.7	1
Bootleg Biology - BBAUR – AURORA™	Wheatwine	Strong American Ale	22D	Ale	Liquid	81	23.9	36.7	1
Bootleg Biology - BBXNPA - NEEPAH Blend	American IPA	IPA	21A	Ale	Liquid	80	18.9	21.1	10
Bootleg Biology - BBXNPA - NEEPAH Blend	American Pale Ale	Pale American Ale	18B	Ale	Liquid	80	18.9	21.1	6
Bootleg Biology - BBXNPA - NEEPAH Blend	Berliner Weisse	European Sour Ale	23A	Ale	Liquid	80	18.9	21.1	1
Bootleg Biology - BBXNPA - NEEPAH Blend	Old Ale	Strong British Ale	17B	Ale	Liquid	80	18.9	21.1	1
