Category	Style	BJCP	Region	Fermentation_type	mean_Temp_lower_C	mean_Temp_higher_C	mean_Attenuation_percent	Number_recipes	number_yeast_strains	Number_Ale_yeast_strains	Number_Lager_yeast_strains	Number_Ale_dry_strains	Number_Ale_liquid_strains	Number_Lager_dry_strains	Number_Lager_liquid_strains	Number_recipes_Ale_dry_strains	Number_recipes_Ale_liquid_strains	Number_recipes_Lager_dry_strains	Number_recipes_Lager_liquid_strains
Alternative Fermentables Beer	Alternative Grain Beer	31A	Other	Hot fermented	16.9	24.0	77.4	68	40	36	4	14	22	2	2	36	27	3	2
Alternative Fermentables Beer	Alternative Sugar Beer	31B	Other	Hot fermented	17.1	23.4	75.1	42	20	20	0	8	12	0	0	30	12	0	0
Amber and Brown American Beer	American Amber Ale	19A	North America	Hot fermented	16.7	22.7	75.3	3557	162	141	21	31	110	5	16	1899	1602	31	25
Amber and Brown American Beer	American Brown Ale	19C	North America	Hot fermented	16.7	22.6	74.6	1833	124	111	13	24	87	4	9	886	927	7	13
Amber and Brown American Beer	California Common	19B	North America	Hot fermented	14.2	20.5	75.5	333	40	22	18	7	15	8	10	25	28	113	167
Amber Bitter European Lager	Altbier	7B	Europe	Cold fermented	14.6	21.2	75.0	325	49	36	13	11	25	5	8	83	209	23	10
Amber Bitter European Lager	Kellerbier: Amber Kellerbier	7C	Europe	Cold fermented	11.2	17.3	75.9	46	25	7	18	3	4	4	14	5	5	13	23
Amber Bitter European Lager	Kellerbier: Pale Kellerbier	7C	Europe	Cold fermented	10.7	17.0	75.1	52	28	8	20	2	6	5	15	4	6	18	24
Amber Bitter European Lager	Vienna Lager	7A	Europe	Cold fermented	12.7	18.4	75.4	832	89	36	53	10	26	10	43	40	47	329	416
Amber Malty European Lager	Dunkles Bock	6C	Europe	Cold fermented	12.2	19.0	76.0	105	31	11	20	4	7	7	13	5	7	35	58
Amber Malty European Lager	Märzen	6A	Europe	Cold fermented	13.4	19.6	75.3	891	85	42	43	13	29	9	34	80	92	268	451
Amber Malty European Lager	Rauchbier	6B	Europe	Cold fermented	13.1	20.1	75.5	99	39	21	18	10	11	5	13	19	12	36	32
American Porter and Stout	American Porter	20A	North America	Hot fermented	17.2	23.6	75.3	1709	129	124	5	30	94	3	2	808	890	9	2
American Porter and Stout	American Stout	20B	North America	Hot fermented	16.9	23.0	75.0	2374	141	132	9	27	105	4	5	1136	1226	7	5
American Porter and Stout	Imperial Stout	20C	North America	Hot fermented	17.3	23.8	75.4	1638	122	118	4	26	92	1	3	705	927	3	3
American Wild Ale	Brett Beer	28A	North America	Hot fermented	18.2	25.8	77.6	72	41	41	0	8	33	0	0	15	57	0	0
